Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,1,0,0,0
2,1,0,1,0
3,1,2,0,0
4,1,2,1,0
5,2,0,1,0
6,1,0,2,0
7,1,1,1,0
8,2,0,1,0
9,1,2,0,0
10,1,1,0,0
11,2,2,2,1
12,1,1,0,0
13,0,1,1,0
14,1,0,0,0
15,1,0,1,1
16,1,0,0,1
17,2,0,1,1
18,1,0,0,0
19,1,2,1,1
20,0,0,0,0
21,0,1,0,0
22,0,0,0,0
23,2,1,2,1
24,2,2,2,1
25,2,2,1,0
26,1,0,1,0
27,1,1,1,0
28,2,2,1,0
29,0,0,0,0
30,1,1,1,0
31,2,0,2,1
32,1,0,1,0
33,1.1,0.8,0.8,0.3
