Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,1.3,1,0.9,1.2
2,0.6,1.1,1.6,1.3
3,0.3,1.1,1,0.4
4,2.5,0.8,1.1,1.4
5,1.8,1.1,0.5,1
6,0.3,1.5,1.1,0.6
7,0.5,0.8,3.3,1
8,1.5,0.5,0.7,1.3
9,1.6,0.6,0.7,0.7
10,1.8,1.3,2,0.3
11,0.6,1.4,0.7,0.8
12,1.4,0.9,0.5,2.2
13,1.2,1,0.8,0.8
14,0.3,1.6,0.7,0.3
15,0.8,1.1,1.8,0.6
16,0.9,0.6,0.6,1.1
17,0.5,0.5,0.5,0.3
18,0.4,1.4,0.5,0.3
19,1.4,2.2,1.8,0.7
20,0.2,1.6,2.3,0.5
21,1.2,0.9,0.6,0.9
22,0.6,1.9,0.9,0.4
23,0.3,0.4,0.9,0.4
24,0.8,0.8,0.4,0.4
25,1.2,1.1,0.9,1.6
26,0.5,1.5,0.5,0.6
27,0.5,0.8,0.9,0.4
28,0.9,0.6,0.4,1.1
29,1.6,0.3,0.4,0.8
30,0.6,1.2,0.6,0.3
31,0.4,1.1,0.7,0.4
32,1,1,1.3,0.4
33,0.9,1.1,1,0.8
