Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,2,1,2,2
2,3,2,1,3
3,3,3,2,2
4,3,3,3,3
5,2,1,1,3
6,2,3,2,3
7,1,0,1,1
8,2,2,3,3
9,3,3,3,2
10,2,1,1,3
11,3,1,3,3
12,2,3,2,1
13,2,1,1,2
14,3,2,1,2
15,3,2,3,1
16,2,1,3,1
17,3,3,3,3
18,2,1,1,2
19,3,3,2,3
20,3,3,2,2
21,2,3,3,3
22,3,2,2,0
23,3,3,3,3
24,3,1,3,2
25,2,2,3,3
26,3,3,3,1
27,2,2,1,2
28,3,2,3,1
29,3,2,1,3
30,3,2,3,3
31,3,3,2,3
32,1,3,1,1
33,2.5,2.1,2.1,2.2
