Participant #,ca-bubbleSV One,ca-bubbleSV All,ca-bubbleDV,ca-bubbleTotal,ca-gridSV One,ca-gridSV All,ca-gridDV,ca-gridTotal,vsup-bubbleSV One,vsup-bubbleSV All,vsup-bubbleDV,vsup-bubbleTotal,vsup-gridSV One,vsup-gridSV All,vsup-gridDV,vsup-gridTotal
1,2.3,1.5,1.5,7.6,2,1.3,1.3,6.1,0.9,1.7,1.7,4.3,1.2,1.8,1.8,6
2,2.3,3.8,3.8,12.8,1.4,5.8,5.8,11.4,1.6,1,1,2.5,3,1,1,7.5
3,0.6,1.6,1.6,3.7,1.1,1.5,1.5,4.7,1.6,1,1,5.1,1.3,1.1,1.1,4
4,0.3,0.7,0.7,2.1,1.1,0.6,0.6,3.2,1,1.3,1.3,4.7,0.4,0.6,0.6,2.8
5,1.4,1.9,1.9,6.6,1.4,2.3,2.3,6.3,1.3,1.2,1.2,4.2,1.5,1.1,1.1,5.1
