Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,6,4,4,5
2,7,5,5,6
3,7,7,5,5
4,7,7,6,6
5,7,4,5,6
6,6,5,7,5
7,5,3,4,3
8,7,5,7,4
9,6,8,5,5
10,5,5,4,5
11,8,6,7,7
12,6,7,5,4
13,4,4,5,4
14,7,5,4,4
15,7,5,7,5
16,6,3,6,4
17,8,6,7,7
18,6,4,3,5
19,7,8,6,7
20,5,6,5,5
21,5,7,5,6
22,5,4,4,3
23,8,7,8,7
24,8,6,8,5
25,7,7,7,6
26,6,5,6,4
27,6,5,5,5
28,8,6,7,4
29,5,4,3,6
30,7,6,7,6
31,8,6,7,7
32,4,5,5,3
33,6.4,5.5,5.6,5.1
